attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
fgsm,0.15,True,least-likely,7562,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/001_n002771_Felix_Neureuther/0005.jpg,0.15,0.142768
fgsm,0.15,True,least-likely,3347,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/001_n002771_Felix_Neureuther/0006.jpg,0.15,0.135802
fgsm,0.15,True,least-likely,2319,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/001_n002771_Felix_Neureuther/0008.jpg,0.15,0.140697
fgsm,0.15,True,least-likely,3481,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/001_n002771_Felix_Neureuther/0009.jpg,0.15,0.13884
fgsm,0.15,True,least-likely,6720,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0000.jpg,0.15,0.143082
fgsm,0.15,True,least-likely,4438,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0001.jpg,0.15,0.141272
fgsm,0.15,True,least-likely,6773,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0002.jpg,0.15,0.140295
fgsm,0.15,True,least-likely,2689,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0004.jpg,0.15,0.136919
fgsm,0.15,True,least-likely,7543,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0005.jpg,0.15,0.1356
fgsm,0.15,True,least-likely,6656,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0006.jpg,0.15,0.14231
fgsm,0.15,True,least-likely,5706,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0007.jpg,0.15,0.143529
fgsm,0.15,True,least-likely,7661,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0008.jpg,0.15,0.141646
fgsm,0.15,True,least-likely,6620,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/002_n006115_Mike_Posner/0009.jpg,0.15,0.144395
fgsm,0.15,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0000.jpg,0.15,0.137448
fgsm,0.15,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0001.jpg,0.15,0.128598
fgsm,0.15,True,least-likely,785,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0002.jpg,0.15,0.130852
fgsm,0.15,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0003.jpg,0.15,0.137935
fgsm,0.15,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0004.jpg,0.15,0.141829
fgsm,0.15,True,least-likely,1377,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0005.jpg,0.15,0.144334
fgsm,0.15,True,least-likely,306,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0007.jpg,0.15,0.139325
fgsm,0.15,True,least-likely,8603,3,n006980,"""Philip_Michael_Thomas""",003_n006980_Philip_Michael_Thomas,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/003_n006980_Philip_Michael_Thomas/0009.jpg,0.15,0.143757
fgsm,0.15,True,least-likely,7258,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0000.jpg,0.15,0.140111
fgsm,0.15,True,least-likely,3654,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0001.jpg,0.15,0.141824
fgsm,0.15,True,least-likely,8022,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0002.jpg,0.15,0.137205
fgsm,0.15,True,least-likely,1007,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0003.jpg,0.15,0.137814
fgsm,0.15,True,least-likely,8022,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0004.jpg,0.15,0.137884
fgsm,0.15,True,least-likely,6170,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0005.jpg,0.15,0.13942
fgsm,0.15,True,least-likely,917,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0006.jpg,0.15,0.130439
fgsm,0.15,True,least-likely,8022,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0007.jpg,0.15,0.135779
fgsm,0.15,True,least-likely,8022,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0008.jpg,0.15,0.138828
fgsm,0.15,True,least-likely,830,4,n002295,"""Drake""",004_n002295_Drake,dataset/clean_cropped/NN1/004_n002295_Drake/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/004_n002295_Drake/0009.jpg,0.15,0.133027
fgsm,0.15,True,least-likely,8515,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0000.jpg,0.15,0.141273
fgsm,0.15,True,least-likely,4029,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0001.jpg,0.15,0.133338
fgsm,0.15,True,least-likely,4029,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0002.jpg,0.15,0.140912
fgsm,0.15,True,least-likely,2956,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0003.jpg,0.15,0.137369
fgsm,0.15,True,least-likely,4497,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0004.jpg,0.15,0.140374
fgsm,0.15,True,least-likely,2563,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0005.jpg,0.15,0.142715
fgsm,0.15,True,least-likely,4029,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0006.jpg,0.15,0.143926
fgsm,0.15,True,least-likely,4029,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0007.jpg,0.15,0.144399
fgsm,0.15,True,least-likely,472,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0008.jpg,0.15,0.137326
fgsm,0.15,True,least-likely,5489,5,n001597,"""Chris_Duhon""",005_n001597_Chris_Duhon,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/005_n001597_Chris_Duhon/0009.jpg,0.15,0.141225
fgsm,0.15,True,least-likely,7859,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0000.jpg,0.15,0.141415
fgsm,0.15,True,least-likely,7643,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0001.jpg,0.15,0.138776
fgsm,0.15,True,least-likely,6191,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0002.jpg,0.15,0.142646
fgsm,0.15,True,least-likely,6827,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0003.jpg,0.15,0.142849
fgsm,0.15,True,least-likely,785,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0004.jpg,0.15,0.137523
fgsm,0.15,True,least-likely,5429,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0005.jpg,0.15,0.13212
fgsm,0.15,True,least-likely,3208,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0006.jpg,0.15,0.144165
fgsm,0.15,True,least-likely,666,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0007.jpg,0.15,0.128825
fgsm,0.15,True,least-likely,3208,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0008.jpg,0.15,0.139605
fgsm,0.15,True,least-likely,7643,6,n003512,"""Héctor_Mancilla""",006_n003512_H_ctor_Mancilla,dataset/clean_cropped/NN1/006_n003512_H_ctor_Mancilla/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/006_n003512_H_ctor_Mancilla/0009.jpg,0.15,0.140827
fgsm,0.15,True,least-likely,1333,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0000.jpg,0.15,0.137349
fgsm,0.15,True,least-likely,6697,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0002.jpg,0.15,0.137104
fgsm,0.15,True,least-likely,4832,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0003.jpg,0.15,0.143644
fgsm,0.15,True,least-likely,1164,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0004.jpg,0.15,0.137172
fgsm,0.15,True,least-likely,604,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0005.jpg,0.15,0.138667
fgsm,0.15,True,least-likely,604,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0006.jpg,0.15,0.142155
fgsm,0.15,True,least-likely,5942,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0008.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0008.jpg,0.15,0.138318
fgsm,0.15,True,least-likely,2429,7,n005908,"""Meera_Jasmine""",007_n005908_Meera_Jasmine,dataset/clean_cropped/NN1/007_n005908_Meera_Jasmine/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/007_n005908_Meera_Jasmine/0009.jpg,0.15,0.138387
fgsm,0.15,True,least-likely,7782,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0001.jpg,0.15,0.136602
fgsm,0.15,True,least-likely,5507,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0003.jpg,0.15,0.143051
fgsm,0.15,True,least-likely,2618,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0004.jpg,0.15,0.138212
fgsm,0.15,True,least-likely,4235,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0005.jpg,0.15,0.14413
fgsm,0.15,True,least-likely,5507,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0007.jpg,0.15,0.143962
fgsm,0.15,True,least-likely,8310,8,n001564,"""Cherish_Lee""",008_n001564_Cherish_Lee,dataset/clean_cropped/NN1/008_n001564_Cherish_Lee/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/008_n001564_Cherish_Lee/0009.jpg,0.15,0.143307
fgsm,0.15,True,least-likely,6328,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0000.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0000.jpg,0.15,0.135128
fgsm,0.15,True,least-likely,5095,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0001.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0001.jpg,0.15,0.136352
fgsm,0.15,True,least-likely,2808,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0002.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0002.jpg,0.15,0.137053
fgsm,0.15,True,least-likely,1045,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0003.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0003.jpg,0.15,0.135705
fgsm,0.15,True,least-likely,3652,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0004.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0004.jpg,0.15,0.139096
fgsm,0.15,True,least-likely,5901,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0005.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0005.jpg,0.15,0.139562
fgsm,0.15,True,least-likely,6456,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0006.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0006.jpg,0.15,0.140888
fgsm,0.15,True,least-likely,4914,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0007.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0007.jpg,0.15,0.141475
fgsm,0.15,True,least-likely,5466,9,n007934,"""Sergio_van_Dijk""",009_n007934_Sergio_van_Dijk,dataset/clean_cropped/NN1/009_n007934_Sergio_van_Dijk/0009.jpg,dataset/attacks/error_specific/fgsm/least-likely/eps_0_150/009_n007934_Sergio_van_Dijk/0009.jpg,0.15,0.141581
